Name,Lifetime,Nationality,Notable as,Orientation,Sex,Era,Name.old
 Thompson Scott,1959,Canadian,Comedian,G,M,AD,"Thompson, ScottScott Thompson"
 Thomson Virgil,1896-1989,American,20th century classical composer,G,M,AD,"Thomson, VirgilVirgil Thomson"
 Thorpe Ian,1982,Australian,Swimmer,G,M,AD,"Thorpe, IanIan Thorpe"
 Thurman Wallace,1902-1934,American,Writer,G,M,AD,"Thurman, WallaceWallace Thurman"
 Tiber Elliot,1935,American,Writer,G,M,AD,"Tiber, ElliotElliot Tiber"
 Tiberius,42-37,Roman,Emperor,B,M,BC,Tiberius
 Tikka Kari S,1944-2006,Finnish,Legal scholar,G,M,AD,"Tikka, Kari S.Kari S. Tikka"
 Tilden Bill,1893-1953,American,Athlete,G,M,AD,"Tilden, BillBill Tilden"
 Tillmans Wolfgang,1968,German,Artist,G,M,AD,"Tillmans, WolfgangWolfgang Tillmans"
 Tinling Ted,1910-1990,English,"Athlete, fashion designer",G,M,AD,"Tinling, TedTed Tinling"
 Tippett Michael,1905-1998,English,20th century classical composer,G,M,AD,"Tippett, MichaelMichael Tippett"
 Tisei Richard,1962,American,Politician,G,M,AD,"Tisei, RichardRichard Tisei"
 Titone Matthew,1961,American,"Politician, lawyer",G,M,AD,"Titone, MatthewMatthew Titone"
 Tobias Andrew,1947,American,"Journalist, writer",G,M,AD,"Tobias, AndrewAndrew Tobias"
 Tober Ronnie,1945,Dutch,Pop musician,G,M,AD,"Tober, RonnieRonnie Tober"
 Todd Patricia,1955,American,Politician,L,F,AD,"Todd, PatriciaPatricia Todd"
 Toiba Colm Toib �n,1955,Irish,Writer,G,M,AD,"Tóibín, ColmColm Tóibín"
 Toksvig Sandi,1958,Danish,Radio personality,L,F,AD,"Toksvig, SandiSandi Toksvig"
 Tomlin Lily,1939,American,"Actor, comedian",L,F,AD,"Tomlin, LilyLily Tomlin"
 Tonioli Bruno,1955,Italian-English,"Dancer, choreographer",G,M,AD,"Tonioli, BrunoBruno Tonioli"
 Toone Philip,1965,Canadian,Politician,G,M,AD,"Toone, PhilipPhilip Toone"
 Topp Jools Lynda,1958,New Zealander,Pop musicians,L,F,AD,"Topp, Jools & LyndaJools & Lynda Topp"
 Toscano Peterson,1965,American,"Playwright, actor, LGBT rights activist",G,M,AD,"Toscano, PetersonPeterson Toscano"
 Tovey Noel,1934,Australian,"Dancer, choreographer, actor",G,M,AD,"Tovey, NoelNoel Tovey"
 Tovey Russell,1981,English,Actor,G,M,AD,"Tovey, RussellRussell Tovey"
 Towle Andy,1967,American,"Journalist, blogger",G,M,AD,"Towle, AndyAndy Towle"
 Toy Jim,1930,American,LGBT rights activist,G,M,AD,"Toy, JimJim Toy"
 Trandahl Jeff,1964,American,Politician,G,M,AD,"Trandahl, JeffJeff Trandahl"
 Trask Stephen,1967,American,"Rock musician, film composer",G,M,AD,"Trask, StephenStephen Trask"
 Treacy Philip,1967,Irish,Milliner,G,M,AD,"Treacy, PhilipPhilip Treacy"
 Tree Ronald,1897-1976,English,Politician,G,M,AD,"Tree, RonaldRonald Tree"
 Trefusis Violet,1894-1972,English,Writer,L,F,AD,"Trefusis, VioletViolet Trefusis"
 Tremblay Lucie Blue,1958,Canadian,Folk-rock musician,L,F,AD,"Tremblay, Lucie BlueLucie Blue Tremblay"
 Tremblay Michel,1942,Canadian,"Writer, playwright",G,M,AD,"Tremblay, MichelMichel Tremblay"
 Tremblay Roland Michel,1972,Canadian,Writer,G,M,AD,"Tremblay, Roland MichelRoland Michel Tremblay"
 Trendy Bobby,1981,American,"Interior decorator, television personality",G,M,AD,"Trendy, BobbyBobby Trendy"
 Trensch Taylor,1989,American,Stage actor,G,M,AD,"Trensch, TaylorTaylor Trensch"
 Trettebergstuen Anette,1981,Norwegian,Politician,L,F,AD,"Trettebergstuen, AnetteAnette Trettebergstuen"
 Treut Monika,1954,German,Filmmaker,L,F,AD,"Treut, MonikaMonika Treut"
 Trevisan Joa Silverio,1944,Brazilian,Writer,G,M,AD,"Trevisan, João SilvérioJoão Silvério Trevisan"
 Trevor Roper Patrick,1916-2004,English,"Doctor, LGBT rights activist",G,M,AD,"Trevor-Roper, PatrickPatrick Trevor-Roper"
 Trevorrow Mark,1959,Australian,Comedian,G,M,AD,"Trevorrow, MarkMark Trevorrow"
 Troche Rose,1964,American,Filmmaker,L,F,AD,"Troche, RoseRose Troche"
 Truluck Rembert S,1934,American,Clergy,G,M,AD,"Truluck, Rembert S.Rembert S. Truluck"
 Tryon Tom,1926-1991,American,"Actor, writer",G,M,AD,"Tryon, TomTom Tryon"
 Tsai Kevin,1962,Chinese (Taiwan ROC),"TV host, writer",G,M,AD,"Tsai, KevinKevin Tsai"
 Mingliang Tsai,1957,Chinese,Film director,G,M,AD,"Ming-liang, TsaiTsai Ming-liang"
 Tsarouchis Yannis,1910-1989,Greek,Artist,G,M,AD,"Tsarouchis, YannisYannis Tsarouchis"
 Tsiolkas Christos,1965,Australian,Writer,G,M,AD,"Tsiolkas, ChristosChristos Tsiolkas"
 Tuaolo Esera,1968,American,Athlete,G,M,AD,"Tuaolo, EseraEsera Tuaolo"
 Tuan Yi Fu,1930,Chinese-American,Geographer,G,M,AD,"Tuan, Yi-FuYi-Fu Tuan"
 Tucker Cliff,1912-1993,Welsh,"Oil executive, magistrate, politician",G,M,AD,"Tucker, CliffCliff Tucker"
 Tucker Corin,1972,American,Rock musician (Sleater-Kinney),B,M,AD,"Tucker, CorinCorin Tucker"
 Tuke Henry Scott,1858-1929,English,"Painter, photographer",G,M,AD,"Tuke, Henry ScottHenry Scott Tuke"
 Tulchinsky Karen X,�,Canadian,Writer,L,F,AD,"Tulchinsky, Karen X.Karen X. Tulchinsky"
 Tune Tommy,1939,American,"Actor, dancer, choreographer, theater director",G,M,AD,"Tune, TommyTommy Tune"
 Tunney Thomas M,1955,American,"Entrepreneur, politician",G,M,AD,"Tunney, Thomas M.Thomas M. Tunney"
 Turing Alan,1912-1954,English,"Mathematician, cryptographer",G,M,AD,"Turing, AlanAlan Turing"
 Turnbull Colin,1924-1994,American,Anthropologist,G,M,AD,"Turnbull, ColinColin Turnbull"
 Turner Guinevere,1968,American,"Actor, writer",L,F,AD,"Turner, GuinevereGuinevere Turner"
 Twigg Stephen,1966,English,Politician,G,M,AD,"Twigg, StephenStephen Twigg"
 Tyler Nikki,1972,American,Porn star,B,F,AD,"Tyler, NikkiNikki Tyler"
 Tynkkynen Oras,1977,Finnish,Politician,G,M,AD,"Tynkkynen, OrasOras Tynkkynen"
 Edward Tarletski,1974,Belarusian,"Drag comedy musician, human rights activists",G,M,AD,Edward Tarletski
 Udall Nicholas,1504-1556,English,"Playwright, schoolmaster",G,M,AD,"Udall, NicholasNicholas Udall"
 Uecker Georg,1962,German,Playwright,G,M,AD,"Uecker, GeorgGeorg Uecker"
 Ulibarri Jessie,�,American,Politician,G,M,AD,"Ulibarri, JessieJessie Ulibarri"
 Ulrichs Karl Heinrich,1825-1895,German,"Activist, writer",G,M,AD,"Ulrichs, Karl HeinrichKarl Heinrich Ulrichs"
 Umpierre Luz Marauz Mara,1947,Puerto Rican,"Poet, scholar, human rights activist",L,F,AD,"Umpierre, Luz MaríaLuz María Umpierre"
 Underwood Katie,1975,Australian,Pop musician,B,F,AD,"Underwood, KatieKatie Underwood"
 Uotinen Jorma,1950,Finnish,"Dancer, singer and choreographer",B,F,AD,"Uotinen, JormaJorma Uotinen"
 Upthegrove Dave,1971,American,Politician,G,M,AD,"Upthegrove, DaveDave Upthegrove"
 Urie Michael,1980,American,Actor,G,M,AD,"Urie, MichaelMichael Urie"
 Vachon Christine,1962,American,Film producer,L,F,AD,"Vachon, ChristineChristine Vachon"
 Vaid Urvashi,1958,Indian-American,"LGBT rights activist, lawyer",L,F,AD,"Vaid, UrvashiUrvashi Vaid"
 Valdez Lupe,1947,American,Sheriff,L,F,AD,"Valdez, LupeLupe Valdez"
 Valentine Angelina,1986,American,Porn star,B,F,AD,"Valentine, AngelinaAngelina Valentine"
 Valiquette Max,1973,Canadian,Pop culture expert and television personality,G,M,AD,"Valiquette, MaxMax Valiquette"
 Vallieres Pierre,1938-1998,Quebec,"Journalist, writer",G,M,AD,"Vallières, PierrePierre Vallières"
 Amstel Louis Van,1972,Dutch / American,"Dancer, Choreographer",G,M,AD,"Amstel, Louis VanLouis Van Amstel"
 Duin Andre van,1947,Dutch,"Actor, pop musician, writer",G,M,AD,"Duin, André vanAndré van Duin"
 Essen Jorg van,1947,German,Prosecutor and politician,G,M,AD,"Essen, Jörg vanJörg van Essen"
 Ree Tasya van,1976,American,"Artist, photographer",L,F,AD,"Ree, Tasya vanTasya van Ree"
 Sant Gus Van,1952,American,"Film director, photographer, musician",G,M,AD,"Sant, Gus VanGus Van Sant"
 Zandt Tim Van,1963,American,"Politician, nurse, accountant",G,M,AD,"Zandt, Tim VanTim Van Zandt"
 Vechten Carl Van,1880-1964,American,"Writer, photographer",G,M,AD,"Vechten, Carl VanCarl Van Vechten"
 Vandenberg Jr Arthur H,1907,American,"government official, politician",G,M,AD,"Vandenberg, Jr., Arthur H.Arthur H. Vandenberg, Jr."
 Vanegas Trent,1975,American,Blogger,G,M,AD,"Vanegas, TrentTrent Vanegas"
 Vanita Ruth,1955,Indian,"Academic, activist",L,F,AD,"Vanita, RuthRuth Vanita"
 Varadkar Leo,1979,Irish,Politician,G,M,AD,"Varadkar, LeoLeo Varadkar"
 Vargas Chavela,1919-2012,Mexican,Latin musician,L,F,AD,"Vargas, ChavelaChavela Vargas"
 Vargas Jose Antonio,1981,Filipino-American,Journalist,G,M,AD,"Vargas, Jose AntonioJose Antonio Vargas"
 Kramer Vjekoslav,1976,"Bosnian, Croatian",Chef and Media Personality,G,M,AD,"Kramer, VjekoslavVjekoslav Kramer"
 Variaaes Antonio,1944-1984,Portuguese,Pop musician,G,M,AD,"Variações, AntónioAntónio Variações"
 Vasconcelos Mario Cesariny de,1923-2006,Portuguese,Poet,G,M,AD,"Vasconcelos, Mário Cesariny deMário Cesariny de Vasconcelos"
 Vasquez Junior,1946,American,"DJ, musician",G,M,AD,"Vasquez, JuniorJunior Vasquez"
 Vassall John,1924-1996,English,"Civil servant, spy",G,M,AD,"Vassall, JohnJohn Vassall"
 Vattimo Gianni,1936,Italian,"Writer, philosopher",G,M,AD,"Vattimo, GianniGianni Vattimo"
 Vaughan Keith,1912-1977,English,Painter,G,M,AD,"Vaughan, KeithKeith Vaughan"
 Vaughan R M,1965,Canadian,"Poet, writer",G,M,AD,"Vaughan, R. M.R. M. Vaughan"
 Vawter Ron,1948-1994,American,Actor,G,M,AD,"Vawter, RonRon Vawter"
 Vazquez Carmen,,Cuban-American,"Activist, writer",L,F,AD,"Vázquez, CarmenCarmen Vázquez"
 Vazquez Martaz Jesaesa,1965,Spanish,Television presenter,G,M,AD,"Vázquez Martínez, JesúsJesús Vázquez Martínez"
 Veatch Dan,1965,American,Swimmer,G,M,AD,"Veatch, DanDan Veatch"
 Vedder Elihu,1836-1923,American,"Painter, illustrator",G,M,AD,"Vedder, ElihuElihu Vedder"
 Veiga Jennifer,1962,American,Politician,L,F,AD,"Veiga, JenniferJennifer Veiga"
 Veigel Werner,1928-1995,German,News presenter,G,M,AD,"Veigel, WernerWerner Veigel"
 Velasquez Patricia,1971,Venezuelan,"Actor, model",B,F,AD,"Velásquez, PatriciaPatricia Velásquez"
 Vellekoop Maurice,1964,Canadian,Illustrator and comics artist.,G,M,AD,"Vellekoop, MauriceMaurice Vellekoop"
 Vendola Nichi,1958,Italian,Politician,G,M,AD,"Vendola, NichiNichi Vendola"
 Venn Brown Anthony,1951,Australian,"Author, former evangelist",G,M,AD,"Venn-Brown, AnthonyAnthony Venn-Brown"
 Verburg Gerda,1957,Dutch,Politician,L,F,AD,"Verburg, GerdaGerda Verburg"
 Verlaine Paul,1844-1896,French,Poet,B,M,AD,"Verlaine, PaulPaul Verlaine"
 Verlinden Rob,1950,Dutch,Television personality,G,M,AD,"Verlinden, RobRob Verlinden"
 Vermue Reg,,Canadian,Rock musician,G,M,AD,"Vermue, RegReg Vermue"
 Verraros Jim,1983,American,"Pop musician, reality show contestant",G,M,AD,"Verraros, JimJim Verraros"
 Verreos Nick,1967,American,Fashion designer,G,M,AD,"Verreos, NickNick Verreos"
 Versace Gianni,1946-1997,Italian,Fashion designer,G,M,AD,"Versace, GianniGianni Versace"
 Vestlund Borje,1960,Swedish,Politician,G,M,AD,"Vestlund, BörjeBörje Vestlund"
 Viau Theophile de,1590-1626,French,"Poet, dramatist",G,M,AD,"Viau, Théophile deThéophile de Viau"
 Vidal Gore,1925-2012,American,"Writer, actor",B,F,AD,"Vidal, GoreGore Vidal"
 Vidarte Paco,1970-2008,Spanish,"Writer, LGBT rights activist",G,M,AD,"Vidarte, PacoPaco Vidarte"
 Videkull Lena,1962,Swedish,Footballer,L,F,AD,"Videkull, LenaLena Videkull"
 Viertel Salka,1889-1978,Ukrainian,"Actor, screenwriter",L,F,AD,"Viertel, SalkaSalka Viertel"
 Viktor Ludwig,1842-1919,Austrian,Nobility,G,M,AD,"Viktor, LudwigLudwig Viktor"
 Vilanch Bruce,1948,American,"Comedy writer, actor",G,M,AD,"Vilanch, BruceBruce Vilanch"
 Villard Tom,1953-1994,American,Actor,G,M,AD,"Villard, TomTom Villard"
 Villaronga Agustaustaillaronga,1953,Spanish,Director,G,M,AD,"Villaronga, AgustíAgustí Villaronga"
 Villarrubia Jose,1961,American,Artist,G,M,AD,"Villarrubia, JoséJosé Villarrubia"
 Villaurrutia Xavier,1903-1950,Mexican,"Poet, playwright",G,M,AD,"Villaurrutia, XavierXavier Villaurrutia"
 Villele Alain Philippe Malagnac d' Argens de,1950-2000,French,Aristocrat,G,M,AD,"Villèle, Alain-Philippe Malagnac d'Argens deAlain-Philippe Malagnac d'Argens de Villèle"
 Vincent Norah,1968,American,Journalist,L,F,AD,"Vincent, NorahNorah Vincent"
 Vining Donald,1917-1998,American,Writer,G,M,AD,"Vining, DonaldDonald Vining"
 Visconti Luchino,1906-1976,Italian,Filmmaker,G,M,AD,"Visconti, LuchinoLuchino Visconti"
 Vak Pavel,1962,Czech,"Pop musician, actor",G,M,AD,"Vítek, PavelPavel Vítek"
 Vivien Renee,1877-1909,English,Poet,L,F,AD,"Vivien, RenéeRenée Vivien"
 Vivier Claude,1948-1983,Canadian,20th century classical composer,G,M,AD,"Vivier, ClaudeClaude Vivier"
 Vizaniari Lisa Marie,1971,Australian,"Athlete, discus thrower",L,F,AD,"Vizaniari, Lisa-MarieLisa-Marie Vizaniari"
 Voeller Bruce,1934-1994,American,Biologist and HIV/AIDS researcher,G,M,AD,"Voeller, BruceBruce Voeller"
 Vogel Paula,1951,American,Playwright,L,F,AD,"Vogel, PaulaPaula Vogel"
 Volkova Julia,1985,Russian,Singer,B,F,AD,"Volkova, JuliaJulia Volkova"
van  Essen Jorg,1947,German,Politician,G,M,AD,"van Essen, JörgJörg van Essen"
von  Beust Ole,1955,German,Politician,G,M,AD,"von Beust, OleOle von Beust"
von  Gloeden Wilhelm,1856-1931,German,Photographer,G,M,AD,"von Gloeden, WilhelmWilhelm von Gloeden"
von  Praunheim Rosa,1942,German,Film director,G,M,AD,"von Praunheim, RosaRosa von Praunheim"
von  Ruffin Kurt,1901-1996,German,Holocaust survivor,G,M,AD,"von Ruffin, KurtKurt von Ruffin"
von  Sinnen Hella,1959,German,Comedian,L,F,AD,"von Sinnen, HellaHella von Sinnen"
 Vosovic Daniel,1981,American,Fashion designer,G,M,AD,"Vosovic, DanielDaniel Vosovic"
 Vriend Delwin,1966,Canadian,LGBT rights activist,G,M,AD,"Vriend, DelwinDelwin Vriend"
 Wachowski Lana,1965,American,"Director, screenwriter, producer",L,F,AD,"Wachowski, LanaLana Wachowski"
 Wachs Joel,1939,American,Politician,G,M,AD,"Wachs, JoelJoel Wachs"
 Waddell Tom,1937-1987,American,"Athlete, founder of the Gay Games",G,M,AD,"Waddell, TomTom Waddell"
 Wagner Jane,1935,American,"Writer, director, producer",L,F,AD,"Wagner, JaneJane Wagner"
 Wagner Siegfried,1869-1930,German,Classical composer,G,M,AD,"Wagner, SiegfriedSiegfried Wagner"
 Wainaina Binyavanga,1971,Kenyan,Writer,G,M,AD,"Wainaina, BinyavangaBinyavanga Wainaina"
 Wainwright Rufus,1973,Canadian,Pop musician,G,M,AD,"Wainwright, RufusRufus Wainwright"
 Waites Keisha,1972,American,Politician,L,F,AD,"Waites, KeishaKeisha Waites"
 Waithe Lena,1984,American,"Actress, writer",L,F,AD,"Waithe, LenaLena Waithe"
 Walbrook Anton,1896-1967,Austrian,Actor,G,M,AD,"Walbrook, AntonAnton Walbrook"
 Waldoff Claire,1884-1957,German,Kabarett singer,L,F,AD,"Waldoff, ClaireClaire Waldoff"
 Walker Alice,1944,American,"Author, poet",B,F,AD,"Walker, AliceAlice Walker"
 Walker Jackie,1950-2002,American,Football player,G,M,AD,"Walker, JackieJackie Walker"
 Wall Louisa,1972,New Zealander,Politician,L,F,AD,"Wall, LouisaLouisa Wall"
 Wallach Yona,1944-1985,Israeli,Poet,B,F,AD,"Wallach, YonaYona Wallach"
 Walker Rebecca,1969,American,Author,B,F,AD,"Walker, RebeccaRebecca Walker"
 Walker Vaughn R,1944,American,Federal judge,G,M,AD,"Walker, Vaughn R.Vaughn R. Walker"
 Wall Travis,1987,American,Dancer,G,M,AD,"Wall, TravisTravis Wall"
 Wallace Ji,1977,Australian,Gymnast,G,M,AD,"Wallace, JiJi Wallace"
 Wallowitch John,1926-2007,American,"Cabaret performer, songwriter",G,M,AD,"Wallowitch, JohnJohn Wallowitch"
 Walpole Hugh,1884-1941,British,Writer,G,M,AD,"Walpole, HughHugh Walpole"
 Walsh Mara Elena,1930-2011,Argentine,"Writer, musician",L,F,AD,"Walsh, María ElenaMaría Elena Walsh"
 Walsh Tonie,1960,Irish,"LGBT rights activist, DJ",G,M,AD,"Walsh, TonieTonie Walsh"
 Wambach Abby,1980,American,Soccer player,L,F,AD,"Wambach, AbbyAbby Wambach"
 Wan Gok,1974,British,Fashion consultant,G,M,AD,"Wan, GokGok Wan"
 Ward Sophie,1964,British,Film and stage actor,L,F,AD,"Ward, SophieSophie Ward"
 Warhol Andy,1928-1987,American,Artist,G,M,AD,"Warhol, AndyAndy Warhol"
 Waring Marilyn,1952,New Zealander,"Politician, feminist",L,F,AD,"Waring, MarilynMarilyn Waring"
 Warn Sarah,,American,"Writer, editor",L,F,AD,"Warn, SarahSarah Warn"
 Warner Jackie,1968,American,"Personal fitness trainer, TV personality",L,F,AD,"Warner, JackieJackie Warner"
 Warner Michael,,American,"Writer, Queer theorist",G,M,AD,"Warner, MichaelMichael Warner"
 Warner Sylvia Townsend,1893-1978,British,Writer,B,F,AD,"Warner, Sylvia TownsendSylvia Townsend Warner"
 Warren David,,American,Theatre director,G,M,AD,"Warren, DavidDavid Warren"
 Warren Patricia Nell,1936,American,Writer,L,F,AD,"Warren, Patricia NellPatricia Nell Warren"
 Warren Tony,1936,British,TV writer,G,M,AD,"Warren, TonyTony Warren"
 Washington Mary L,1962,American,Politician,L,F,AD,"Washington, Mary L.Mary L. Washington"
 Waters Ethel,1896-1977,American,"Jazz/pop musician, actor",B,F,AD,"Waters, EthelEthel Waters"
 Waters John,1946,American,Film director,G,M,AD,"Waters, JohnJohn Waters"
 Waters Miriam Van,1887-1974,American,Feminist social worker,L,F,AD,"Waters, Miriam VanMiriam Van Waters"
 Waters Sarah,1966,British,novelist,L,F,AD,"Waters, SarahSarah Waters"
 Watkin David,1925,British,Cinematographer,G,M,AD,"Watkin, DavidDavid Watkin"
 Watkins Ian,1976,Welsh,"Pop musician, actor",G,M,AD,"Watkins, IanIan Watkins"
 Watkins Perry,1949-1996,American,Soldier,G,M,AD,"Watkins, PerryPerry Watkins"
 Watkins Tuc,1966,American,Actor,G,M,AD,"Watkins, TucTuc Watkins"
 Watmough David,1926,Canadian,"Novelist, playwright",G,M,AD,"Watmough, DavidDavid Watmough"
 Watson Giz,1957,British-Australian,Politician,L,F,AD,"Watson, GizGiz Watson"
 Weakland Rembert,1927,American,Roman Catholic Archbishop,G,M,AD,"Weakland, RembertRembert Weakland"
 Weaver Scotty Joe,1986-2004,American,Murder victim,G,M,AD,"Weaver, Scotty JoeScotty Joe Weaver"
 Webb Clifton,1889-1966,American,Actor,G,M,AD,"Webb, CliftonClifton Webb"
 Webb Kathy,1950,American,Politician,L,F,AD,"Webb, KathyKathy Webb"
 Webb Lawrence,,American,"Politician, academic administrator",G,M,AD,"Webb, LawrenceLawrence Webb"
 Weber Ben,1916-1979,American,Classical composer,G,M,AD,"Weber, BenBen Weber"
 Weber Bruce,1946,American,Photographer,G,M,AD,"Weber, BruceBruce Weber"
 Weber Dreya,1961,American,Actor,B,F,AD,"Weber, DreyaDreya Weber"
 Weerasethakul Apichatpong,1970,Thai,Filmmaker,G,M,AD,"Weerasethakul, ApichatpongApichatpong Weerasethakul"
 Weigle Mark,1967,American,Folk-rock musician,G,M,AD,"Weigle, MarkMark Weigle"
 Weiland Ric,1953,American,Computer software pioneer,G,M,AD,"Weiland, RicRic Weiland"
 Weingarten Randi,1957,American,"Labor leader, attorney",L,F,AD,"Weingarten, RandiRandi Weingarten"
 Weir Johnny,1984,American,Olympic figure skater,G,M,AD,"Weir, JohnnyJohnny Weir"
 Weisbrodt Jorn,1973,German,Arts administrator,G,M,AD,"Weisbrodt, JörnJörn Weisbrodt"
 Weissman Aerlyn,,Canadian,Filmmaker,L,F,AD,"Weissman, AerlynAerlyn Weissman"
 Wells John C,1939,British,"Phoneticist, author of the main Esperanto dictionary",G,M,AD,"Wells, John C.John C. Wells"
 Welts Rick,1953,American,Sports executive,G,M,AD,"Welts, RickRick Welts"
 Wenner Jann,1946,American,Publisher,G,M,AD,"Wenner, JannJann Wenner"
 Wentz Pete,1979,American,Rock musician,B,M,AD,"Wentz, PetePete Wentz"
 Werner Laurie Joan,1920-1964,British,Journalist,L,F,AD,"Werner Laurie, JoanJoan Werner Laurie"
 Wescott Glenway,1901-1987,American,Writer,G,M,AD,"Wescott, GlenwayGlenway Wescott"
 West Rosemary,1953,British,Serial killer,B,F,AD,"West, RosemaryRosemary West"
 West Wash,1966,American,Director,G,M,AD,"West, WashWash West"
 Westenhoefer Suzanne,1961,American,Comedian,L,F,AD,"Westenhoefer, SuzanneSuzanne Westenhoefer"
 Westerwelle Guido,1961,German,Politician,G,M,AD,"Westerwelle, GuidoGuido Westerwelle"
 Whale James,1889-1957,British,Film director,G,M,AD,"Whale, JamesJames Whale"
 Whipple Diane,1968-2001,American,Lacrosse player,L,F,AD,"Whipple, DianeDiane Whipple"
 Whishaw Ben,1980,British,Actor,G,M,AD,"Whishaw, BenBen Whishaw"
 White Dave,1964,American,Writer,G,M,AD,"White, DaveDave White"
 White Edmund,1940,American,"Novelist, teacher",G,M,AD,"White, EdmundEdmund White"
 White Jean,-2010,British,Clergy,L,F,AD,"White, JeanJean White"
 White Mel,1940,American,"Clergy, writer",G,M,AD,"White, MelMel White"
 White Mike,1970,American,"Screenwriter, actor",B,M,AD,"White, MikeMike White"
 White Minor,1908-1976,American,Photographer,G,M,AD,"White, MinorMinor White"
 White Patrick,1912-1990,Australian,Author,G,M,AD,"White, PatrickPatrick White"
 White T H,1906-1964,English,Author,G,M,AD,"White, T. H.T. H. White"
 Whitebread Charles,1943-2008,American,Legal scholar,G,M,AD,"Whitebread, CharlesCharles Whitebread"
 Whitehead Annie,1955,British,Jazz musician,L,F,AD,"Whitehead, AnnieAnnie Whitehead"
 Whitehead William,1931,Canadian,Writer,G,M,AD,"Whitehead, WilliamWilliam Whitehead"
 Whitman Walt,1819-1892,American,Writer,G,M,AD,"Whitman, WaltWalt Whitman"
 Whitmore George,1946-1989,American,Writer,G,M,AD,"Whitmore, GeorgeGeorge Whitmore"
 Whittington Jeff,1985-1999,New Zealander,Murder victim,G,M,AD,"Whittington, JeffJeff Whittington"
 Whitton Charlotte,1896-1975,Canadian,"Feminist, politician",L,F,AD,"Whitton, CharlotteCharlotte Whitton"
 Whitty Jeff,1971,American,Playwright,G,M,AD,"Whitty, JeffJeff Whitty"
